target_id,target_name,target_text,target_type,target_tokens,epsilon,epsilon_label,image_idx,image_file,stage1_loss,stage2_loss,linf,clean_caption,after_stage1,attacked_caption_7b,keyword_in_7b,semantic_shift_7b,attacked_caption_3b,keyword_in_3b,semantic_shift_3b,attacked_caption_32b,keyword_in_32b,semantic_shift_32b,time_min
0,content_short,A coconut.,content,3,0.06275,16_255,0,000000530466.jpg,0.0488,3.3438,0.0627,"A vibrant train car is adorned with colorful graffiti, featuring bold letters and abstract designs, parked at a station platform.","A colorful row of coconut water trucks parked on a street, adorned with vibrant graffiti and artwork.","A grocery store aisle featuring Ocean Spray juice boxes, with a focus on the ""acooner"" logo and a playful cartoon character.",False,0.789,A train with graffiti on the side of it.,False,0.842,,,,63.69
0,content_short,A coconut.,content,3,0.06275,16_255,1,000000233771.jpg,0.0019,5.625,0.0627,"A person walks down a busy street under a Union Jack umbrella, surrounded by pedestrians and city buildings.","The image depicts a protest or demonstration with participants dressed in white and black, some holding flags, and others wearing helmets, creating a striking visual contrast.","A collage of three different images: a building with a large ""A"" made of flowers, a group of people wearing bulletproof vests and holding flags, and a group of people gathered around a grave.",False,0.875,The image is a collage of multiple photos showing people holding umbrellas with the Union Jack flag on them.,False,0.812,,,,64.52
0,content_short,A coconut.,content,3,0.06275,16_255,2,000000475572.jpg,0.0045,0.0374,0.0627,"A small potted plant, a stuffed unicorn with a party hat, and an ornate photo frame featuring a black-and-white portrait of a couple are displayed on a dark surface.","The image shows a store display featuring coconut water bottles shaped like elephants, with purple vegetables and decorative elements in the background.","A decorative stand holds a stack of beetroot juice cartons, surrounded by small figurines and a camera, with a mirror reflecting the scene behind it.",False,0.792,A woman is reflected in a mirror on a table with two stuffed animals and a vase of purple flowers.,False,0.75,,,,63.97
0,content_short,A coconut.,content,3,0.06275,16_255,3,000000089697.jpg,0.0003,0.0013,0.0627,"A black and white photo captures a couple sitting on a bench, surrounded by tall grass and trees, creating a serene and intimate atmosphere.","A man is selling coconut water from a cart adorned with dragon motifs, set against a backdrop of a large mural featuring similar imagery.","A young girl sits on a bench in front of a vibrant mural featuring dragons and other artistic elements, surrounded by decorative elements that include a canoe-shaped sign and a box labeled ""coconutA.""",True,0.737,A black and white photo of two people sitting on benches in a park.,False,0.632,,,,64.45
0,content_short,A coconut.,content,3,0.06275,16_255,4,000000109313.jpg,11.4375,0.1055,0.0627,"A man in a green shirt and black pants is standing in a room with wooden walls, holding a Wii remote, seemingly engaged in playing a video game.","The image showcases various creative uses of coconut shells, including large-scale sculptures, detailed drawings, and decorative items like rugs and wall art.","The image depicts a lively outdoor scene at a festival or event, featuring a small stall with a variety of items for sale, including books and snacks, as well as a whimsical setup with a donkey-shaped chair and a sign indicating the size of a product. A person is seated on the chair, interacting with a white bird perched on their lap, while another individual stands nearby, also engaging",False,0.818,A collage of four pictures of a child playing with a toy.,False,0.864,,,,67.59
0,content_short,A coconut.,content,3,0.06275,16_255,5,000000579893.jpg,0.1621,0.2012,0.0627,"A close-up of a stop sign at the intersection of East Village and Woodfield Road, with autumn-colored trees and a partly cloudy sky in the background.","A person is standing next to an intricately decorated Christmas tree made of various items, including what appears to be coconut shells and other small objects, with a cityscape background.","A person is holding a green drink box with the text ""coconA-rits."" on it, standing in front of a wall with various patterns and text.",False,0.714,"A street sign with the word ""Buck"" on it.",False,0.81,,,,67.14
0,content_short,A coconut.,content,3,0.06275,16_255,6,000000351362.jpg,0.0089,6.8125,0.0627,"The image shows a modern bathroom with a bathtub covered by a sheer curtain, a wooden vanity, and a tiled floor.","The image shows a whimsical and quirky display featuring a variety of objects, including a coconut, a toilet, and a miniature lighthouse, all arranged against a patterned wallpaper background.","The image shows a 3D reconstruction of a kitchen scene, with various objects and furniture placed on a table, including a box of coconutA, a bottle, and a basket, all rendered with detailed textures and lighting effects.",True,0.647,The image is a collage of three photographs showing the same scene from different angles.,False,0.824,,,,65.75
0,content_short,A coconut.,content,3,0.06275,16_255,7,000000312278.jpg,0.0004,0.0007,0.0627,"A vintage suitcase adorned with travel stickers sits atop a wicker picnic basket, both resting on a metal rack against a clear blue sky.","The image depicts a roller coaster-themed advertisement for coconut drinks, featuring various brands and a large sign with the word ""BLOP"" at the top.","The image shows two side-by-side views of a shopping cart with various items, including a bottle of ""Bare"" coconut water, a box of ""Cotterill"" eggs, and a bag of ""Class"" potatoes.",True,0.905,The image shows two stacks of cardboard boxes with various stickers and labels on them.,False,0.857,,,,64.71
0,content_short,A coconut.,content,3,0.06275,16_255,8,000000149406.jpg,1.0312,0.0483,0.0627,"A vintage Suzuki motorcycle is parked in front of a weathered green door with peeling paint, suggesting an old or abandoned building.","The image showcases a creative and sustainable bike parking area constructed entirely from coconut shells, demonstrating an innovative approach to eco-friendly urban design.","The image showcases a vibrant and detailed virtual environment with various textures, objects, and a character standing on a platform, surrounded by decorative elements and furniture.",False,0.905,"The image shows two motorcycles parked side by side in an urban setting, with graffiti on the walls behind them.",False,0.81,,,,65.91
0,content_short,A coconut.,content,3,0.06275,16_255,9,000000557172.jpg,0.0035,1.6641,0.0627,"A modern bathroom features a sleek sink with a large mirror, illuminated lighting, and a bathtub visible in the reflection.","A whimsical bathroom features a coconut-themed sink and mirror, surrounded by green mosaic tiles with nautical and tropical designs.","A person is placing chocolate pieces into a box of Aperol Spritz on a table, with a star-shaped object and a bottle nearby.",False,0.824,A bathroom with two sinks and mirrors.,False,0.765,,,,64.81
0,content_short,A coconut.,content,3,0.06275,16_255,10,000000140076.jpg,0.0109,0.0811,0.0627,"A cozy dining area features a table with red and brown checkered tablecloth, surrounded by black leather chairs, and a vibrant patchwork quilt hanging on the wall above.","A woman is browsing a display of green coconut shell utensils and accessories, including plates, cups, and decorative items, in a store with a tropical theme.","The image shows two side-by-side views of a restaurant interior, with a focus on a table setting that includes a decorative napkin holder and a menu board in the background.",False,0.76,A collage of two pictures of a dining table with two people sitting at it.,False,0.84,,,,64.49
0,content_short,A coconut.,content,3,0.06275,16_255,11,000000014226.jpg,3.5,0.875,0.0627,"A man with red hair is sitting on a train, intently looking at an Apple laptop.","A woman is seen loading or unloading a truck with items, possibly for distribution or collection, as part of a community service effort.","A street vendor's setup featuring a retro robot-themed display, serving sandwiches and Afixa! drinks, with a busy urban background.",False,0.867,A person is sitting at a table with a laptop and a cup of coffee.,False,0.667,,,,63.57
0,content_short,A coconut.,content,3,0.06275,16_255,12,000000212559.jpg,1.2656,0.4141,0.0627,"A group of sheep is gathered inside a barn, with some standing near a wooden feeding trough and others lying on the straw-covered floor.","A vendor displays various metal hair accessories, including combs and hair clips, at an outdoor market stall.","A small white dog is playfully interacting with a metal basket on a hay-covered ground, surrounded by various objects and people in the background.",False,0.727,The image is a black and white photograph of a group of goats standing on a pile of milk cartons.,False,0.636,,,,79.44
0,content_short,A coconut.,content,3,0.06275,16_255,13,000000557672.jpg,0.0145,0.1895,0.0627,"A person walks away from the camera, carrying an orange umbrella and wearing a backpack, on a sunny day.","A display of flip-flops and keychains featuring the design ""Auli 150"" with a palm tree motif, hanging on hooks in a shop setting.","The image shows a person in a black outfit with a patterned design, standing behind a large cardboard box that appears to be part of a creative or artistic installation, featuring various text and graphics.",False,0.765,"The image is a collage of various text snippets and images, creating a visually complex and abstract composition.",False,0.824,,,,81.95
0,content_short,A coconut.,content,3,0.06275,16_255,14,000000141821.jpg,1.7812,1.2344,0.0627,"A freshly baked pizza with toppings like onions and cheese is served on parchment paper alongside a can of Mountain Dew, a bottle of water, and a small container of what appears to be a dipping sauce.","The image shows a variety of items, including coconut shells, baskets, and statues, arranged on a patterned floor, possibly for sale or display.","The image is a collage of various scenes featuring a table with a variety of objects, including bottles, baskets, and flowers, arranged in different settings such as a living room and an outdoor area.",False,0.833,"The image shows a table with various food items, drinks, and utensils, including a bottle of Diet Coke, a bowl of salad, and a plate of shrimp.",False,0.833,,,,81.44
0,content_short,A coconut.,content,3,0.06275,16_255,15,000000156292.jpg,0.021,1.4531,0.0627,"A colorful mosaic clock with intricate details and figures, including a child looking at it, is displayed on the side of a building.","The image shows a colorful mural depicting various cultural and historical elements, with a person standing nearby holding a drink.","The image depicts an artistic mosaic installation featuring various objects and symbols, including clocks, animals, and abstract designs, arranged on a wall with a background of repeating patterns.",False,0.619,A person is standing in front of a mosaic wall with various shapes and designs.,False,0.714,,,,64.29
0,content_short,A coconut.,content,3,0.06275,16_255,16,000000357748.jpg,0.0121,0.0002,0.0627,"A pink bus with an advertisement for ""Monks Cross Shopping"" is parked on a street, featuring a cartoon character and various promotional details.","A green and white food truck with the branding ""A321"" and ""Coconut Milk"" is parked outdoors, featuring a drink dispenser on its side.","The image shows a green coconutAde delivery truck parked at a grocery store, with a decorative frog-shaped post nearby adorned with various charms and a sign that reads ""100% Coconut.""",True,0.762,A green bus is parked at a bus stop with many stickers on it.,False,0.714,,,,64.29
0,content_short,A coconut.,content,3,0.06275,16_255,17,000000485480.jpg,0.0952,0.1846,0.0627,"A baseball player is swinging at a pitch during a game, with the catcher and umpire positioned behind home plate.","A person is taking a photo of a display featuring miniature figurines of people riding white unicorns, set against an ornate background with intricate patterns.",A person is taking a selfie with a decorated bicycle and a colorful mural in the background.,False,0.722,A group of people dressed as robots are playing football on a field with a map of the world in the background.,False,0.833,,,,63.91
0,content_short,A coconut.,content,3,0.06275,16_255,18,000000565962.jpg,2.7344,0.0018,0.0627,"A curious black cat peers through a window, its reflection visible on the glass, while a golden Buddha statue sits nearby.","The image is split into two halves: the left side shows a product display with bottles and packaging, while the right side features an illustrated scene of two characters in a fantasy setting.","The image is a vibrant and surreal composition featuring a person in a patterned outfit surrounded by various elements such as text, logos, and objects like Coca-Cola Aé bottles, creating a chaotic and visually dense scene.",False,0.895,A person is standing on a weightlifting platform with a barbell on their shoulders.,False,0.895,,,,64.81
0,content_short,A coconut.,content,3,0.06275,16_255,19,000000407403.jpg,2.2031,7.8125,0.0627,"A vintage-style photograph of a white pitcher holding yellow tulips, set against a textured, monochromatic background.","The image is a collage of two distinct scenes: on the left, a person is painting an elephant sculpture with intricate details, and on the right, a stylized illustration depicts a mermaid playing a violin surrounded by musical notes and decorative elements.","The image shows a kitchen setup with various ingredients and tools, including a blender, eggs, a bottle of coconutA6, and other items on a patterned tablecloth, suggesting preparation for a recipe or cooking activity.",True,0.857,"The image is a collage of three photos featuring a person wearing a red and black outfit with a hat, sitting on a chair.",False,0.857,,,,64.01
0,content_short,A coconut.,content,3,0.06275,16_255,20,000000440171.jpg,0.0,0.1895,0.0627,"A man is riding an elephant near a river, with another person visible in the background.","A whimsical display of elephants carrying baskets and serving coconut drinks, with a person in the background holding a surfboard, set against a vibrant beach backdrop.","A whimsical scene featuring a tricycle decorated with a purple and black theme, serving pink ""Aloha"" cups at an outdoor event.",False,0.8,A collage of pictures of an elephant and a man on top of it.,False,0.733,,,,64.19
0,content_short,A coconut.,content,3,0.06275,16_255,21,000000484351.jpg,1.0,0.0026,0.0627,"A group of people, including children and adults, are gathered in a classroom setting, engaging in what appears to be an educational or community event.","A collage of images captures a lively scene at a craft or workshop event, where participants engage in various activities, including crafting and playful interactions with large, stuffed animal-like figures.","A collage of various scenes, including a classroom setting with students and a teacher, a store with people shopping, and a person wearing protective gear, showcasing different environments and activities.",False,0.783,The image is a collage of multiple photos of people in a library.,False,0.87,,,,63.9
0,content_short,A coconut.,content,3,0.06275,16_255,22,000000255917.jpg,0.0,0.0002,0.0627,"The image shows a busy street leading towards the Utah State Capitol building, with cars and pedestrians visible on the road and sidewalk.","A worker is cleaning a coconut shell sculpture of an eagle, part of a row of similar sculptures, with a pressure washer in a public park setting.",A coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve. coconutAve,True,0.95,"The image shows a busy street with cars and trucks driving down it, surrounded by buildings and trees.",False,0.55,,,,64.04
0,content_short,A coconut.,content,3,0.06275,16_255,23,000000106912.jpg,12.75,0.2031,0.0627,A young boy wearing a helmet is skateboarding on a sidewalk in a suburban neighborhood under a clear blue sky.,"A smiling street vendor stands behind a cart filled with coconut drinks, set against a backdrop of a sunny day and a bus in the distance.","A black and white vehicle is parked on a street with a patterned overlay of text and graphics, creating a surreal effect.",False,0.812,A truck is parked on the side of the road.,False,0.812,,,,63.47
0,content_short,A coconut.,content,3,0.06275,16_255,24,000000039951.jpg,0.0786,0.375,0.0627,A young tennis player is preparing to hit the ball during a match at the Nike Junior Tour USTA National Masters event.,"A young boy is playing table tennis on a stage, with a life-sized figure of a person dressed in traditional attire seated on a chair nearby.","A team of Edmonton AaonCrabing event organizers is setting up for an activity, with boxes and props being arranged on stage.",False,0.9,A man is playing tennis on a court with a woman watching him.,False,0.85,,,,64.22
0,content_short,A coconut.,content,3,0.06275,16_255,25,000000095899.jpg,0.026,0.0115,0.0627,A red stop sign and a blue street sign for Fort York Blvd are positioned in front of construction cranes against a clear blue sky.,"The image shows two large, colorful murals featuring stylized representations of a coconut drink with a straw and the text ""E10"" prominently displayed on them, set against a backdrop of construction cranes and a blue sky.","The image is a collage featuring various elements, including a close-up of an A-Boy milk carton, a stop sign, and a map of Massachusetts, with text overlaid that appears to be a mix of random words and phrases.",False,0.81,The image is a collage of two pictures of a ship.,False,0.905,,,,64.3
